ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
4249,7.59,29.4,,250.6,94.3,57.8,1.22,25.1,1639.0,2.75,GRAVE
4250,6.93,31.0,,395.2,89.0,24.5,6.34,4.2,1007.0,2.91,PROBLEMATICO
4251,8.29,38.7,70.0,156.8,73.3,11.0,5.04,3.0,1757.0,3.64,TRATABLE
4252,7.25,27.7,182.8,10.2,128.5,25.7,,32.9,1168.0,6.66,PROBLEMATICO
4253,,21.8,58.3,24.7,146.4,42.6,,6.1,835.0,6.29,TRATABLE
4254,5.69,31.2,144.7,508.9,,45.0,4.91,30.7,180.0,5.03,GRAVE
4255,7.28,36.3,123.8,417.6,196.6,,4.73,3.7,1154.0,7.36,PROBLEMATICO
4256,8.24,25.4,83.1,,205.0,30.0,,51.4,751.0,,GRAVE
4257,6.0,,118.6,171.5,209.2,34.2,0.41,27.2,1897.0,3.65,PROBLEMATICO
4258,8.71,33.1,,10.0,167.5,24.1,1.85,33.2,1869.0,5.23,PROBLEMATICO
4259,6.89,32.1,174.4,199.2,145.5,4.8,9.83,19.5,1028.0,4.09,PROBLEMATICO
4260,5.93,27.6,218.3,,232.9,15.2,4.57,12.6,1175.0,,PROBLEMATICO
4261,8.2,,37.3,46.3,209.3,16.2,4.76,11.0,,7.96,TRATABLE
4262,6.66,26.6,218.6,14.5,8.2,27.3,6.9,19.7,828.0,4.32,TRATABLE
4263,7.91,29.3,177.5,61.5,122.7,9.8,9.44,,451.0,,PROBLEMATICO
4264,6.65,31.5,15.0,368.3,40.3,31.2,0.51,4.3,1247.0,6.36,TRATABLE
4265,6.93,28.7,168.6,33.0,42.3,14.2,10.55,,,6.03,PROBLEMATICO
4266,,25.1,,305.7,89.1,29.4,3.87,18.0,2243.0,8.04,TRATABLE
4267,7.35,29.8,19.1,,127.2,43.1,4.79,17.6,953.0,5.33,TRATABLE
4268,,31.3,131.7,356.1,97.6,38.1,4.18,52.9,2884.0,4.61,GRAVE
4269,5.65,,168.5,310.4,37.6,5.9,8.49,29.9,2465.0,2.56,GRAVE
4270,8.12,22.8,133.6,208.3,217.5,33.2,6.88,28.0,696.0,5.2,PROBLEMATICO
4271,6.84,26.1,110.2,273.5,69.3,34.7,3.57,5.5,1147.0,2.66,PROBLEMATICO
4272,6.37,31.7,90.2,230.1,188.9,52.7,0.62,34.9,113.0,2.58,GRAVE
4273,5.37,20.1,,139.2,72.1,28.6,3.27,14.3,906.0,5.33,PROBLEMATICO
4274,5.7,16.5,13.6,426.4,90.2,40.5,0.01,1.1,1462.0,3.84,PROBLEMATICO
4275,4.57,34.5,198.6,173.8,,14.1,6.67,15.0,1344.0,0.0,GRAVE
4276,6.88,29.6,121.4,234.4,105.1,6.7,1.96,5.5,634.0,9.14,PROBLEMATICO
4277,6.28,30.0,43.1,4.7,,37.6,3.69,43.6,1146.0,1.59,PROBLEMATICO
4278,,21.6,115.6,299.3,167.7,37.8,7.52,18.3,1550.0,,GRAVE
4279,6.92,30.7,5.4,140.1,2.7,10.6,,15.6,1111.0,2.13,PROBLEMATICO
4280,7.44,,66.4,164.2,187.8,0.2,,1.5,2144.0,3.99,TRATABLE
4281,9.51,19.1,115.8,98.9,46.2,24.2,1.61,4.8,1137.0,3.62,PROBLEMATICO
4282,5.19,,19.6,227.7,28.9,22.8,,16.9,89.0,3.15,PROBLEMATICO
4283,8.39,27.8,165.6,111.2,67.3,26.2,1.61,13.6,79.0,4.31,TRATABLE
4284,8.17,25.0,33.3,372.8,,37.9,5.48,6.9,937.0,2.38,PROBLEMATICO
4285,,25.1,10.7,243.0,20.0,40.5,0.08,19.2,367.0,5.57,TRATABLE
4286,7.24,16.9,22.8,,205.1,22.1,7.62,16.0,67.0,5.37,TRATABLE
4287,6.45,30.0,315.8,28.7,174.0,4.1,4.6,9.5,901.0,4.63,PROBLEMATICO
4288,7.22,28.3,58.0,328.0,147.4,8.9,3.96,36.5,1758.0,,PROBLEMATICO
4289,8.81,26.0,,,164.7,11.3,5.17,14.8,876.0,6.57,PROBLEMATICO
4290,7.73,33.4,52.4,485.1,111.0,19.8,3.65,10.7,1431.0,1.69,PROBLEMATICO
4291,7.61,20.1,88.5,337.5,208.2,12.7,4.2,,2206.0,7.72,PROBLEMATICO
4292,6.48,24.0,174.4,526.2,97.3,17.6,7.87,12.3,1468.0,7.84,PROBLEMATICO
4293,5.22,22.7,169.9,274.7,22.5,23.3,7.17,7.8,547.0,6.22,PROBLEMATICO
4294,6.75,25.6,58.7,444.0,132.3,10.4,6.14,6.1,1183.0,3.85,PROBLEMATICO
4295,,27.3,2.2,333.3,220.1,27.8,4.76,16.1,894.0,8.75,TRATABLE
4296,5.17,29.2,176.0,168.8,189.2,54.9,3.05,31.8,1552.0,6.74,PROBLEMATICO
4297,5.73,25.3,169.7,283.7,321.4,19.0,7.22,7.5,1331.0,1.51,GRAVE
4298,7.15,22.6,94.4,99.9,114.7,9.7,1.27,8.9,1002.0,3.75,TRATABLE
4299,5.82,35.4,159.8,622.4,123.9,27.5,9.35,33.2,1256.0,5.71,GRAVE
4300,6.05,39.1,79.9,231.8,116.7,7.7,6.13,33.9,976.0,1.96,PROBLEMATICO
4301,6.49,27.7,,254.7,62.4,19.3,7.55,25.5,82.0,6.71,PROBLEMATICO
4302,5.36,,120.4,320.2,92.7,9.8,5.4,16.7,157.0,4.11,PROBLEMATICO
4303,,34.4,166.7,54.3,36.1,2.7,3.63,22.6,,,PROBLEMATICO
4304,7.84,,147.8,487.8,89.4,6.2,6.85,12.9,,4.15,PROBLEMATICO
4305,5.43,25.3,165.8,,82.0,10.1,0.22,4.5,1331.0,3.39,PROBLEMATICO
4306,5.08,23.5,51.5,24.7,142.3,3.2,2.23,27.2,1860.0,1.06,PROBLEMATICO
4307,6.24,21.2,262.4,220.0,203.1,45.0,,21.1,2401.0,4.42,GRAVE
4308,7.88,,89.2,19.7,82.4,29.8,0.14,,,3.66,TRATABLE
4309,6.76,22.7,109.3,531.1,83.6,39.0,5.91,42.6,688.0,,GRAVE
4310,6.44,27.1,1.3,208.5,243.1,2.4,7.8,7.2,1715.0,2.34,PROBLEMATICO
4311,,27.1,102.6,329.8,6.9,16.7,1.13,23.7,2178.0,4.82,PROBLEMATICO
4312,4.91,,167.9,286.0,123.7,29.5,2.75,10.3,729.0,9.33,PROBLEMATICO
4313,7.59,25.1,188.6,349.6,235.7,51.7,3.49,7.0,2232.0,2.0,PROBLEMATICO
4314,,25.8,260.6,174.1,,8.5,4.97,59.5,935.0,,PROBLEMATICO
4315,6.51,31.0,166.8,5.9,13.4,1.2,6.56,13.3,1357.0,5.14,TRATABLE
4316,8.21,26.3,144.9,231.4,310.7,25.4,3.16,11.7,946.0,4.63,PROBLEMATICO
4317,5.65,31.1,79.8,163.3,219.9,,6.82,10.7,1375.0,4.45,PROBLEMATICO
4318,,29.9,60.4,74.4,,52.7,4.27,15.9,,4.66,TRATABLE
4319,7.19,29.9,207.3,58.5,131.1,31.8,2.19,20.5,1920.0,3.64,PROBLEMATICO
4320,6.6,33.9,205.6,278.1,204.1,,4.69,,55.0,7.86,PROBLEMATICO
4321,6.98,21.4,23.1,,109.0,16.9,0.21,15.9,546.0,5.33,TRATABLE
4322,6.87,24.6,185.1,333.1,96.3,19.7,3.24,10.1,2108.0,3.25,PROBLEMATICO
4323,8.46,35.8,178.5,61.0,234.8,10.8,3.47,32.2,2784.0,6.92,PROBLEMATICO
4324,5.71,25.7,19.8,360.8,0.4,22.8,2.19,25.4,830.0,3.05,PROBLEMATICO
4325,6.08,12.9,168.6,389.0,106.7,,,13.6,2274.0,2.23,PROBLEMATICO
4326,8.24,26.0,25.5,500.9,,33.4,7.9,10.9,2105.0,3.66,PROBLEMATICO
4327,6.29,27.7,98.6,79.0,,,,21.8,1485.0,7.37,TRATABLE
4328,8.08,13.9,105.6,239.8,140.7,34.3,5.28,9.8,864.0,2.26,GRAVE
4329,9.04,33.7,143.2,352.2,178.6,31.8,5.55,13.4,,3.93,GRAVE
4330,6.52,23.4,109.6,155.0,170.2,24.9,5.87,2.2,1068.0,3.33,PROBLEMATICO
4331,7.82,28.6,378.0,349.3,,,8.69,63.4,1526.0,6.21,GRAVE
4332,5.62,25.9,154.1,245.7,,11.9,6.78,34.7,,2.35,GRAVE
4333,7.91,20.6,133.2,97.6,179.6,30.0,1.96,4.0,918.0,5.76,TRATABLE
4334,7.24,21.6,158.7,113.0,173.9,21.2,6.5,9.0,773.0,1.83,PROBLEMATICO
4335,7.57,22.3,80.3,474.9,169.0,20.7,,0.1,1288.0,6.69,TRATABLE
4336,,32.4,203.7,70.6,151.4,4.3,2.34,42.4,980.0,5.62,PROBLEMATICO
4337,5.01,26.3,152.5,39.8,174.0,3.6,6.94,51.6,844.0,,GRAVE
4338,,24.4,148.4,312.0,,38.1,1.59,0.4,1197.0,,PROBLEMATICO
4339,4.52,22.3,63.8,,171.0,36.2,,20.6,658.0,2.37,GRAVE
4340,6.62,33.0,20.8,13.9,149.8,54.4,6.45,10.3,41.0,6.09,PROBLEMATICO
4341,8.13,,74.9,156.5,87.3,57.3,5.0,37.9,887.0,5.68,TRATABLE
4342,7.23,32.9,145.4,103.0,278.6,5.9,6.5,4.7,1041.0,2.98,GRAVE
4343,9.34,29.5,80.0,134.5,27.7,19.2,7.45,32.6,1725.0,2.02,PROBLEMATICO
4344,8.23,28.4,146.3,704.5,,,4.67,,1056.0,4.64,PROBLEMATICO
4345,6.22,20.9,99.1,195.5,89.1,39.3,6.32,32.1,1473.0,,PROBLEMATICO
4346,7.03,25.8,158.8,91.4,42.7,47.7,1.06,,694.0,5.96,TRATABLE
4347,6.94,23.6,,613.9,175.4,3.5,6.44,,1188.0,3.25,PROBLEMATICO
4348,,17.9,137.4,409.9,119.7,12.3,5.82,3.4,11.0,5.27,PROBLEMATICO
4349,5.87,32.3,62.3,380.5,143.2,46.7,8.32,50.3,760.0,6.46,GRAVE
4350,6.33,23.5,,100.0,122.1,8.1,4.52,32.9,705.0,0.34,PROBLEMATICO
4351,4.56,33.0,105.1,464.5,215.3,2.6,4.92,7.6,367.0,,GRAVE
4352,,,258.3,396.9,228.1,29.9,1.23,,309.0,4.86,PROBLEMATICO
4353,6.7,29.8,11.3,276.5,29.9,59.0,4.0,38.6,1631.0,5.07,PROBLEMATICO
4354,4.99,30.1,130.7,58.9,316.5,8.2,5.83,46.2,1446.0,3.24,GRAVE
4355,,23.9,191.8,246.4,116.0,23.1,6.12,23.6,1948.0,1.54,GRAVE
4356,7.86,36.3,327.0,561.4,198.8,32.0,9.14,2.3,276.0,8.14,GRAVE
4357,7.27,,75.6,289.7,158.0,48.5,5.38,55.6,1775.0,4.63,GRAVE
4358,6.61,28.5,63.1,182.2,,30.0,3.72,64.2,796.0,4.72,PROBLEMATICO
4359,7.71,23.8,15.0,208.9,195.7,11.1,5.67,15.6,2456.0,3.5,PROBLEMATICO
4360,,22.3,222.6,221.3,271.8,1.1,,8.4,1075.0,4.2,PROBLEMATICO
4361,7.37,29.4,41.9,106.1,217.7,46.7,7.98,,,3.95,PROBLEMATICO
4362,6.01,28.1,86.6,242.6,115.7,29.9,1.92,3.8,3214.0,7.25,PROBLEMATICO
4363,7.33,23.1,46.4,509.7,,1.7,2.78,0.7,1496.0,9.47,PROBLEMATICO
4364,8.43,19.8,199.6,,83.7,30.9,0.77,19.2,2447.0,2.92,PROBLEMATICO
4365,6.28,20.7,,114.2,211.5,27.5,4.25,26.2,,6.68,PROBLEMATICO
4366,9.52,33.0,196.1,479.7,199.0,22.9,5.94,,2118.0,7.72,PROBLEMATICO
4367,6.37,23.9,24.5,387.0,,15.8,8.96,20.2,1155.0,2.84,PROBLEMATICO
4368,7.04,,,364.0,272.7,27.6,3.83,3.6,1597.0,3.38,PROBLEMATICO
4369,6.19,34.3,30.5,327.7,247.4,58.6,3.33,1.8,,2.11,PROBLEMATICO
4370,7.27,21.4,125.2,82.5,,26.7,4.01,2.0,1076.0,3.31,PROBLEMATICO
4371,4.91,23.4,138.5,,61.0,22.1,4.67,28.9,162.0,2.77,PROBLEMATICO
4372,6.34,23.2,147.9,,130.0,7.0,4.08,16.4,250.0,4.06,PROBLEMATICO
4373,5.69,,168.1,32.8,120.3,33.3,4.05,18.6,2012.0,1.95,GRAVE
4374,7.16,37.0,119.3,62.7,400.4,35.2,8.52,21.1,1331.0,,GRAVE
4375,8.19,30.8,56.6,,141.0,18.5,,14.0,1881.0,6.18,PROBLEMATICO
4376,7.78,30.9,168.2,107.9,266.5,13.3,2.75,,849.0,3.63,PROBLEMATICO
4377,4.15,24.1,128.8,398.3,243.5,36.3,1.28,38.3,957.0,2.36,GRAVE
4378,9.45,36.7,38.8,114.2,131.6,41.9,0.53,29.0,950.0,4.91,PROBLEMATICO
4379,7.35,28.3,,294.0,145.6,34.5,2.66,11.9,31.0,5.04,PROBLEMATICO
4380,6.07,31.3,258.6,309.1,192.3,4.8,5.12,6.5,958.0,3.08,PROBLEMATICO
4381,7.19,,230.8,163.2,265.8,38.2,2.33,33.5,,3.67,PROBLEMATICO
4382,7.21,,183.5,206.9,122.8,15.6,3.59,21.0,1193.0,3.57,PROBLEMATICO
4383,6.2,35.3,59.1,127.6,89.1,11.2,6.41,9.5,1024.0,6.09,TRATABLE
4384,7.24,29.7,106.5,246.7,233.2,,0.89,8.2,2154.0,4.89,PROBLEMATICO
4385,6.27,34.3,188.8,,25.3,22.4,3.47,45.5,793.0,0.85,PROBLEMATICO
4386,6.51,28.3,153.0,209.8,165.3,32.3,1.03,5.3,1786.0,9.28,PROBLEMATICO
4387,,22.8,86.3,384.7,246.0,14.4,4.12,20.1,1410.0,3.63,PROBLEMATICO
4388,,24.1,221.2,45.4,183.0,8.8,1.6,47.9,1222.0,6.01,PROBLEMATICO
4389,7.18,27.5,196.3,162.3,83.3,13.7,0.81,8.9,1726.0,4.62,TRATABLE
4390,7.7,23.9,,,39.9,40.7,6.33,14.2,963.0,,PROBLEMATICO
4391,7.62,21.5,123.2,124.0,258.7,6.4,5.44,30.4,833.0,6.41,PROBLEMATICO
4392,7.98,33.0,124.6,584.0,122.4,16.0,0.87,6.5,947.0,8.11,PROBLEMATICO
4393,7.39,,181.2,438.1,49.9,36.6,7.88,15.1,1344.0,2.26,PROBLEMATICO
4394,6.36,27.7,42.8,26.9,253.9,22.7,6.18,8.6,84.0,2.93,PROBLEMATICO
4395,8.01,28.5,158.3,,220.1,49.6,3.23,16.5,1083.0,7.59,PROBLEMATICO
4396,,24.1,37.1,255.3,34.8,19.3,4.99,16.2,1685.0,8.64,PROBLEMATICO
4397,5.92,34.3,240.3,48.4,391.4,55.9,1.16,40.5,1183.0,5.25,GRAVE
4398,5.84,21.4,167.9,423.1,85.9,59.1,3.39,2.0,1283.0,7.2,PROBLEMATICO
4399,8.3,28.3,58.1,320.9,218.4,30.2,4.27,12.4,1523.0,3.55,PROBLEMATICO
4400,8.13,28.2,127.3,272.2,338.7,29.5,0.09,42.1,1262.0,1.17,GRAVE
4401,,26.7,43.2,147.4,228.8,32.1,3.32,10.0,64.0,4.36,TRATABLE
4402,8.29,20.5,255.4,538.0,165.9,36.7,,50.8,2221.0,7.36,GRAVE
4403,5.94,31.4,266.1,385.6,3.2,24.2,1.83,10.8,3030.0,3.06,GRAVE
4404,7.42,30.7,182.7,358.6,344.1,43.0,4.62,2.5,2267.0,7.74,PROBLEMATICO
4405,6.85,23.6,260.1,466.0,226.5,31.0,6.48,14.3,,,GRAVE
4406,8.02,30.5,133.7,66.6,1.5,46.9,2.24,19.7,580.0,4.85,TRATABLE
4407,6.86,28.9,188.7,481.3,294.5,4.1,6.12,7.6,2260.0,10.24,PROBLEMATICO
4408,6.54,20.6,230.2,202.4,146.1,,9.7,22.2,1300.0,4.2,PROBLEMATICO
4409,7.65,22.7,119.5,310.3,112.2,40.3,3.23,,1851.0,1.9,PROBLEMATICO
4410,8.05,32.7,126.4,,82.8,1.5,6.22,37.9,506.0,3.85,PROBLEMATICO
4411,6.2,28.5,204.0,88.0,157.1,29.8,0.99,24.1,1558.0,5.25,PROBLEMATICO
4412,6.93,24.2,178.2,422.3,220.8,33.0,6.76,15.2,1471.0,3.17,PROBLEMATICO
4413,5.73,22.7,52.0,78.4,90.5,53.1,5.53,9.3,2169.0,,PROBLEMATICO
4414,,24.4,76.8,76.0,152.8,15.9,,,1773.0,5.46,PROBLEMATICO
4415,7.24,24.8,104.2,168.5,478.1,25.8,4.48,15.6,,6.21,PROBLEMATICO
4416,7.73,22.8,,101.7,187.6,12.0,5.18,6.9,2524.0,5.09,PROBLEMATICO
4417,7.31,,30.8,51.9,236.6,19.5,,2.0,1012.0,,TRATABLE
4418,4.66,32.7,41.3,294.1,44.2,51.2,,27.6,,3.36,PROBLEMATICO
4419,6.58,31.9,68.8,187.6,4.3,21.5,3.56,6.5,1596.0,,TRATABLE
4420,4.34,,193.8,202.5,286.5,9.2,3.86,9.6,,3.98,GRAVE
4421,8.64,27.7,213.4,85.3,257.9,18.7,0.48,25.0,3281.0,1.99,GRAVE
4422,5.7,22.5,165.8,258.3,311.4,12.7,3.67,34.3,299.0,3.31,GRAVE
4423,8.51,25.7,176.9,191.5,,14.1,3.81,25.7,,5.12,PROBLEMATICO
4424,8.14,25.3,179.1,45.4,265.4,12.3,2.44,30.3,2022.0,2.19,GRAVE
4425,5.92,24.9,104.7,213.8,115.4,13.0,5.06,27.8,1841.0,0.36,GRAVE
4426,5.64,37.0,120.9,26.5,194.1,0.6,5.77,15.1,1290.0,3.58,PROBLEMATICO
4427,7.42,24.8,41.7,411.6,243.3,23.2,2.01,22.1,1984.0,2.11,PROBLEMATICO
4428,5.99,23.0,165.8,179.5,71.2,4.4,4.45,47.9,418.0,3.44,PROBLEMATICO
4429,7.12,23.2,68.4,703.9,245.6,42.5,,11.5,2569.0,6.2,GRAVE
4430,6.42,,103.8,424.0,122.0,16.4,0.97,4.7,2171.0,6.18,PROBLEMATICO
4431,4.86,18.7,169.3,226.6,132.0,29.4,0.99,30.5,2380.0,4.39,PROBLEMATICO
4432,4.32,23.2,19.4,,114.1,29.4,1.18,,98.0,5.66,PROBLEMATICO
4433,7.27,34.2,206.6,126.2,298.1,11.1,5.58,,1947.0,8.44,GRAVE
4434,6.33,28.2,165.6,423.2,94.6,17.2,2.63,2.8,1201.0,3.99,PROBLEMATICO
4435,6.34,,154.3,102.3,82.3,52.9,0.28,38.1,,2.56,PROBLEMATICO
4436,,37.7,,266.2,,8.0,7.81,33.6,1383.0,5.84,PROBLEMATICO
4437,8.41,28.2,,119.0,103.1,62.9,0.46,26.5,,,PROBLEMATICO
4438,6.67,23.5,133.7,138.2,,31.8,3.49,24.1,1609.0,2.33,PROBLEMATICO
4439,6.59,25.6,120.9,,203.9,31.3,6.21,1.6,15.0,4.0,PROBLEMATICO
4440,7.6,21.3,118.9,263.8,64.7,26.3,,17.3,1940.0,5.29,PROBLEMATICO
4441,5.37,33.3,59.5,245.2,177.3,40.8,5.25,21.3,902.0,5.23,GRAVE
4442,7.27,29.9,8.2,249.6,201.2,,2.0,16.3,1075.0,1.73,PROBLEMATICO
4443,7.66,32.6,89.7,42.6,46.7,,5.67,,1374.0,5.36,TRATABLE
4444,7.82,33.1,84.7,669.8,146.3,14.3,4.04,38.4,981.0,1.58,GRAVE
4445,4.68,24.9,,291.8,131.5,,5.22,33.3,2339.0,1.92,GRAVE
4446,6.09,22.3,196.7,,147.4,36.6,8.11,30.7,1002.0,7.18,PROBLEMATICO
4447,5.95,26.7,14.5,188.8,,23.2,0.42,31.8,1562.0,1.06,PROBLEMATICO
4448,7.12,22.6,104.6,92.7,126.5,6.8,5.16,19.1,1592.0,0.0,PROBLEMATICO
4449,7.58,27.8,,277.2,143.1,11.6,4.43,36.0,1229.0,5.38,PROBLEMATICO
4450,8.8,,201.8,302.1,326.4,20.8,6.83,6.6,648.0,3.3,PROBLEMATICO
4451,6.41,26.2,229.5,484.3,144.5,4.3,9.33,16.3,395.0,,PROBLEMATICO
4452,6.4,27.7,66.8,624.0,273.8,22.9,9.24,27.7,1975.0,7.47,GRAVE
4453,8.38,26.5,190.6,515.9,281.4,7.2,6.51,24.8,474.0,6.63,GRAVE
4454,7.36,31.0,24.3,68.0,8.1,12.4,2.2,21.7,2607.0,,TRATABLE
4455,8.52,23.7,95.2,167.1,110.9,1.1,2.73,31.7,767.0,4.56,PROBLEMATICO
4456,7.35,,103.6,310.4,281.6,25.6,6.16,40.9,,5.53,GRAVE
4457,5.61,29.4,68.2,177.9,158.1,4.4,0.14,4.1,1291.0,3.53,PROBLEMATICO
4458,5.4,31.9,87.4,242.1,128.4,11.9,3.3,20.4,2308.0,3.28,PROBLEMATICO
4459,,29.2,75.6,136.1,215.0,62.7,1.79,2.0,1466.0,4.49,PROBLEMATICO
4460,7.79,23.8,31.6,,246.8,37.6,0.47,,1536.0,5.71,PROBLEMATICO
4461,8.43,21.3,197.1,87.6,137.1,32.8,4.74,28.0,390.0,7.6,PROBLEMATICO
4462,9.22,29.5,103.6,33.0,112.2,45.4,6.37,2.5,1732.0,6.65,PROBLEMATICO
4463,8.01,,138.1,67.4,96.4,31.2,5.8,14.9,1850.0,5.84,PROBLEMATICO
4464,8.4,,134.7,,144.7,3.3,,12.0,1322.0,4.27,PROBLEMATICO
4465,6.3,36.1,,42.1,101.9,1.7,2.94,32.1,1970.0,3.98,PROBLEMATICO
4466,5.61,22.3,128.4,59.1,39.3,26.8,2.43,5.4,1488.0,4.96,PROBLEMATICO
4467,,35.9,92.5,456.8,119.5,25.6,6.61,5.3,,,PROBLEMATICO
4468,7.5,27.2,247.7,229.8,98.3,2.9,2.47,8.8,1283.0,2.36,PROBLEMATICO
4469,7.13,17.8,188.5,328.0,156.9,11.7,2.38,25.5,1977.0,3.75,PROBLEMATICO
4470,7.46,26.1,121.7,27.5,112.1,16.2,5.23,20.2,1385.0,4.56,PROBLEMATICO
4471,7.39,31.8,79.8,240.3,184.7,,1.06,6.2,2640.0,5.79,PROBLEMATICO
4472,8.54,25.2,109.3,225.5,157.4,21.4,4.26,13.1,965.0,4.37,PROBLEMATICO
4473,8.55,19.6,157.6,,267.4,16.9,2.41,9.7,1135.0,8.35,PROBLEMATICO
4474,7.65,26.2,255.0,240.8,86.6,15.1,1.99,1.8,736.0,3.28,PROBLEMATICO
4475,8.01,22.7,3.6,90.6,318.0,,,18.6,929.0,4.99,PROBLEMATICO
4476,7.62,29.5,179.4,328.9,246.7,,6.26,14.9,837.0,4.25,PROBLEMATICO
4477,6.45,30.9,,178.1,288.7,,4.53,,2642.0,,GRAVE
4478,7.91,21.7,13.8,203.7,165.3,27.0,,14.7,2665.0,4.52,PROBLEMATICO
4479,5.33,,103.7,403.3,111.9,62.8,6.28,51.9,1117.0,,GRAVE
4480,8.26,30.8,24.2,327.8,86.2,11.8,5.87,4.3,2196.0,,TRATABLE
4481,5.57,22.7,158.7,192.7,,17.5,3.46,14.2,1087.0,2.86,GRAVE
4482,7.34,21.6,87.7,49.0,249.7,,5.67,23.7,1503.0,1.87,PROBLEMATICO
4483,5.99,21.1,108.3,489.2,39.2,18.9,3.49,22.9,2275.0,6.42,PROBLEMATICO
4484,7.66,28.8,83.0,8.8,237.8,43.0,5.31,10.4,1037.0,4.54,PROBLEMATICO
4485,6.96,28.5,,363.3,57.5,17.4,7.12,14.0,500.0,7.51,PROBLEMATICO
4486,,23.6,140.6,37.5,,13.8,5.56,13.5,1530.0,4.51,PROBLEMATICO
4487,7.5,27.0,140.8,415.2,222.6,51.9,0.26,,635.0,1.6,GRAVE
4488,6.31,34.6,134.5,431.9,285.8,,,2.5,1225.0,,PROBLEMATICO
4489,8.06,22.1,171.5,,163.8,38.7,,28.8,1430.0,0.91,GRAVE
4490,7.0,17.2,96.4,330.9,,32.9,2.47,8.8,1677.0,1.29,PROBLEMATICO
4491,7.47,29.3,273.1,316.0,144.4,20.7,,45.4,1685.0,4.54,PROBLEMATICO
4492,5.85,,8.9,376.5,246.7,27.7,4.8,29.4,1415.0,4.91,PROBLEMATICO
4493,6.29,23.4,35.3,315.7,218.8,20.5,12.18,13.2,1802.0,4.77,PROBLEMATICO
4494,6.45,30.3,42.8,76.8,138.4,,5.3,27.2,2294.0,2.98,PROBLEMATICO
4495,8.03,31.2,67.2,210.9,46.3,30.3,3.67,18.8,1797.0,2.91,PROBLEMATICO
4496,,16.0,180.6,549.6,103.4,10.9,7.49,8.3,1940.0,9.89,GRAVE
4497,6.03,23.7,169.6,50.6,162.5,2.8,2.97,4.4,578.0,2.24,PROBLEMATICO
4498,8.29,38.6,228.7,308.1,21.9,29.0,4.13,0.4,,2.89,PROBLEMATICO
4499,4.4,29.9,24.9,457.2,87.1,27.8,4.27,,1494.0,,PROBLEMATICO
4500,5.57,30.4,187.1,71.7,117.3,39.7,,,2830.0,2.89,GRAVE
4501,5.85,32.9,125.1,5.0,347.6,17.3,1.23,26.5,333.0,3.98,GRAVE
4502,5.38,27.1,135.0,22.1,,37.5,6.5,2.2,1824.0,4.59,PROBLEMATICO
4503,5.1,31.0,176.3,321.1,212.0,22.4,2.42,5.2,,3.81,PROBLEMATICO
4504,7.5,30.6,51.9,20.6,190.5,28.2,10.18,14.3,1718.0,6.8,TRATABLE
4505,6.74,29.7,352.9,225.6,102.2,29.7,0.54,7.2,249.0,6.53,PROBLEMATICO
4506,7.46,25.4,239.9,496.8,100.1,2.0,1.73,15.3,1341.0,6.06,PROBLEMATICO
4507,7.83,27.9,72.1,240.8,18.0,,2.09,12.4,2515.0,7.41,TRATABLE
4508,7.32,24.1,21.8,,312.7,23.9,12.89,16.8,,4.27,PROBLEMATICO
4509,7.79,27.1,112.1,272.6,41.9,17.1,0.32,21.0,1704.0,7.04,PROBLEMATICO
4510,6.92,21.2,136.4,237.6,97.9,24.1,6.28,29.4,793.0,5.44,PROBLEMATICO
4511,5.58,23.0,215.9,331.5,113.9,67.9,6.18,4.9,2377.0,,GRAVE
4512,8.27,25.6,14.8,541.4,,12.5,1.28,,1789.0,5.49,PROBLEMATICO
4513,6.29,22.3,,321.4,150.1,19.6,6.32,54.5,1534.0,3.62,GRAVE
4514,5.88,24.5,17.6,616.1,135.8,36.6,0.79,11.1,681.0,1.48,GRAVE
4515,6.79,26.2,159.3,332.0,156.3,0.4,1.56,16.8,1099.0,1.48,PROBLEMATICO
4516,5.9,29.0,110.3,111.9,190.2,28.7,0.69,7.4,948.0,2.57,PROBLEMATICO
4517,6.5,31.7,,661.9,163.7,27.4,6.01,22.1,588.0,7.62,GRAVE
4518,7.41,24.7,,227.5,178.0,6.6,1.88,22.9,1095.0,0.0,PROBLEMATICO
4519,7.42,33.7,243.4,60.1,251.2,,5.18,,164.0,3.97,PROBLEMATICO
4520,5.92,31.7,33.3,668.3,25.0,54.1,3.63,0.3,1708.0,5.59,PROBLEMATICO
4521,6.41,,0.6,118.0,210.0,6.6,9.23,44.3,,4.21,PROBLEMATICO
4522,8.29,27.8,30.9,111.0,35.4,14.1,4.1,48.5,707.0,3.81,TRATABLE
4523,7.6,28.6,142.5,150.7,75.8,19.0,,9.8,,2.89,PROBLEMATICO
4524,9.49,32.9,14.4,279.6,152.1,22.1,5.53,5.7,1493.0,7.45,PROBLEMATICO
4525,8.42,33.1,,417.6,181.1,14.6,3.69,0.1,2551.0,3.6,PROBLEMATICO
4526,8.37,33.7,,,192.9,23.5,7.34,15.7,989.0,2.04,PROBLEMATICO
4527,5.33,27.2,160.7,416.8,45.5,21.4,5.14,10.2,2162.0,,PROBLEMATICO
4528,,,123.6,150.2,303.1,34.8,6.7,24.3,1606.0,5.03,GRAVE
